Provider,Phys_Count,Patient_Count,Claim_Count,Service_Type,Both_Service,Inpatient,Outpatient,DuplicateClaims,Duplicate_Claims_Percent,AvgClaimDuration,Avg_Cost,Avg_Age,Gender1,Gender2,Race1,Race2,Race3,Race5,ChronicCond_Alzheimer,ChronicCond_KidneyDisease,ChronicCond_Cancer,ChronicCond_ObstrPulmonary,ChronicCond_Depression,ChronicCond_Diabetes,ChronicCond_IschemicHeart,ChronicCond_Osteoporasis,ChronicCond_rheumatoidarthritis,ChronicCond_stroke,PotentialFraud,NetworkDegree,isFraudConnected,NoPhysicianCount
PRV51216,2,66,114,Outpatient,0,0,1,86,0.75,2.0701754385964914,232.98245614035088,73,27,39,60,2,3,1,187,184,205,193,179,147,141,185,196,218,No,0.0,0.0,0.0
PRV51242,43,87,176,Both_Service,1,0,0,130,0.74,1.4545454545454546,1044.909090909091,72,39,48,75,8,3,1,289,278,329,293,251,229,216,293,309,335,Yes,2.0,1.0,0.0
PRV51244,17,659,1684,Both_Service,1,0,0,546,0.32,1.8889548693586697,1699.6722090261283,71,289,370,576,75,6,2,2696,2630,3140,2812,2571,2160,2088,2840,2883,3192,Yes,2.0,1.0,2.0
PRV51261,48,123,192,Both_Service,1,0,0,100,0.52,2.9427083333333335,2360.65625,71,46,77,104,15,2,2,299,286,352,319,284,238,226,308,321,361,No,3.0,0.0,0.0
PRV51266,47,82,137,Both_Service,1,0,0,90,0.66,1.4306569343065694,987.0802919708029,74,28,54,67,10,2,3,196,223,257,217,194,172,167,236,211,267,No,3.0,0.0,0.0
PRV51273,132,387,844,Outpatient,0,0,1,582,0.69,1.1753554502369667,255.10663507109004,72,166,221,328,44,8,7,1408,1386,1574,1418,1324,1116,1058,1429,1401,1632,No,2.0,0.0,2.0
PRV51277,27,54,85,Both_Service,1,0,0,52,0.61,1.8588235294117648,2379.858823529412,71,21,33,49,2,2,1,136,129,164,150,124,110,99,142,138,165,No,2.0,0.0,0.0
PRV51285,33,109,268,Both_Service,1,0,0,200,0.75,1.164179104477612,1034.7313432835822,71,43,66,90,16,1,2,438,384,479,421,413,353,313,434,455,511,No,2.0,0.0,0.0
PRV51324,2,25,36,Outpatient,0,0,1,16,0.44,1.1944444444444444,302.22222222222223,71,7,18,20,3,1,1,55,61,68,59,60,48,47,54,61,71,No,0.0,0.0,0.0
PRV51336,39,69,100,Both_Service,1,0,0,62,0.62,2.59,2237.72,71,26,43,55,6,6,2,151,157,178,172,154,121,128,171,168,189,No,1.0,0.0,0.0
PRV51337,72,155,246,Both_Service,1,0,0,156,0.63,1.991869918699187,2075.2195121951218,73,66,89,113,13,15,14,393,388,447,423,364,303,305,408,415,471,Yes,2.0,1.0,1.0
PRV51338,83,124,202,Both_Service,1,0,0,148,0.73,1.8217821782178218,880.8019801980198,75,53,71,85,6,30,3,324,314,384,336,308,257,241,333,329,375,Yes,1.0,1.0,0.0
PRV51340,80,141,236,Outpatient,0,0,1,170,0.72,1.771186440677966,306.8220338983051,74,57,84,104,9,23,5,390,370,436,394,357,292,291,392,397,443,No,5.0,0.0,0.0
PRV51341,53,70,95,Outpatient,0,0,1,48,0.51,2.3263157894736843,210.31578947368422,74,27,43,59,3,6,2,167,154,173,170,159,133,123,161,166,182,No,0.0,0.0,0.0
PRV51342,31,179,296,Both_Service,1,0,0,178,0.6,2.0878378378378377,1959.5743243243244,75,70,109,133,14,24,8,470,459,560,494,452,387,367,487,493,554,No,2.0,0.0,0.0
PRV51345,12,47,81,Outpatient,0,0,1,64,0.79,2.728395061728395,365.9259259259259,71,16,31,29,5,8,5,132,133,154,140,123,107,96,142,133,149,No,2.0,0.0,0.0
PRV51346,96,246,398,Both_Service,1,0,0,264,0.66,1.464824120603015,433.35175879396985,73,112,134,154,8,69,15,619,601,740,652,617,515,495,652,643,756,No,5.0,0.0,0.0
PRV51347,5,947,2820,Outpatient,0,0,1,1508,0.53,1.3627659574468085,301.0248226950355,73,437,510,702,55,133,57,4454,4443,5179,4776,4447,3633,3497,4778,4714,5352,Yes,0.0,0.0,2.0
PRV51348,42,54,84,Both_Service,1,0,0,58,0.69,4.023809523809524,3342.6428571428573,74,24,30,45,3,4,2,132,111,158,131,126,103,106,134,136,156,No,1.0,0.0,1.0
PRV51350,128,232,356,Both_Service,1,0,0,234,0.66,1.5561797752808988,913.2471910112359,75,97,135,178,17,24,13,550,547,649,578,539,453,424,600,606,671,No,6.0,0.0,2.0
PRV51351,17,32,53,Outpatient,0,0,1,42,0.79,2.6792452830188678,367.54716981132077,76,18,14,25,1,5,1,81,78,100,84,87,62,64,87,94,94,No,2.0,0.0,1.0
PRV51355,24,69,106,Both_Service,1,0,0,64,0.6,2.4245283018867925,2217.9811320754716,74,34,35,55,4,6,4,169,162,197,175,171,139,125,184,177,206,No,5.0,0.0,0.0
PRV51356,36,91,131,Both_Service,1,0,0,72,0.55,1.2366412213740459,1870.7480916030534,73,43,48,61,6,19,5,214,220,245,227,206,170,162,219,216,248,No,7.0,0.0,0.0
PRV51357,86,149,229,Both_Service,1,0,0,136,0.59,1.9170305676855894,1352.0262008733625,72,60,89,106,11,22,10,350,364,434,389,349,303,289,374,382,441,Yes,3.0,1.0,0.0
PRV51360,21,29,44,Both_Service,1,0,0,30,0.68,2.772727272727273,3106.5,70,13,16,20,1,5,3,77,77,79,84,69,67,61,76,82,81,No,1.0,0.0,0.0
PRV51361,19,32,44,Outpatient,0,0,1,24,0.55,1.0,255.45454545454547,80,17,15,27,1,2,2,71,69,80,75,72,57,58,75,76,80,No,2.0,0.0,0.0
PRV51362,23,44,64,Both_Service,1,0,0,40,0.62,2.0625,3431.1875,77,17,27,29,7,4,4,94,98,124,102,97,78,83,102,106,120,No,1.0,0.0,1.0
PRV51364,13,23,33,Both_Service,1,0,0,20,0.61,1.6666666666666667,2085.3333333333335,72,7,16,17,2,2,2,41,50,57,54,51,44,39,59,55,62,No,3.0,0.0,0.0
PRV51366,12,53,85,Outpatient,0,0,1,56,0.66,0.9176470588235294,308.8235294117647,69,24,29,42,3,5,3,129,120,158,143,133,106,113,142,141,157,No,1.0,0.0,1.0
PRV51369,3,963,2507,Outpatient,0,0,1,852,0.34,1.5915436777024332,297.1599521340247,74,390,573,703,62,135,63,4017,3872,4694,4220,3914,3158,3059,4180,4298,4703,Yes,0.0,0.0,2.0
PRV51371,22,45,70,Both_Service,1,0,0,48,0.69,2.0285714285714285,1865.5714285714287,74,21,24,35,1,7,2,116,113,123,112,112,97,89,121,122,131,No,3.0,0.0,1.0
PRV51377,47,94,144,Both_Service,1,0,0,98,0.68,1.5694444444444444,1366.5416666666667,73,39,55,79,5,8,2,227,229,269,239,227,197,183,239,236,277,No,3.0,0.0,0.0
PRV51378,42,133,248,Both_Service,1,0,0,174,0.7,4.717741935483871,8346.927419354839,73,59,74,111,9,9,4,387,351,452,404,348,288,281,411,400,451,Yes,1.0,1.0,0.0
PRV51383,29,77,115,Both_Service,1,0,0,76,0.66,1.8434782608695652,1788.695652173913,72,34,43,55,8,12,2,178,172,205,191,174,134,137,175,178,212,No,2.0,0.0,0.0
PRV51386,18,274,550,Outpatient,0,0,1,336,0.61,1.5036363636363637,271.1454545454545,73,124,150,217,14,27,16,865,870,1027,931,877,709,692,947,899,1045,No,4.0,0.0,0.0
PRV51387,22,51,79,Both_Service,1,0,0,40,0.51,1.0886075949367089,2022.886075949367,72,21,30,40,3,6,2,120,122,139,131,109,98,92,115,128,147,No,0.0,0.0,0.0
PRV51388,35,81,136,Both_Service,1,0,0,100,0.74,2.6911764705882355,2191.6029411764707,70,31,50,66,2,10,3,209,208,249,223,220,173,160,224,216,265,No,2.0,0.0,0.0
PRV51389,46,77,119,Both_Service,1,0,0,80,0.67,2.5798319327731094,2024.5042016806722,72,29,48,59,7,5,6,206,201,225,194,192,152,147,201,202,228,No,2.0,0.0,0.0
PRV51390,71,253,409,Both_Service,1,0,0,268,0.66,4.43520782396088,6531.413202933985,73,116,137,196,8,30,19,619,597,762,647,611,496,472,681,687,777,Yes,3.0,1.0,0.0
PRV51391,70,166,274,Both_Service,1,0,0,194,0.71,1.4197080291970803,753.9051094890511,73,56,110,118,14,24,10,436,432,513,475,421,356,344,430,466,527,No,3.0,0.0,0.0
PRV51392,9,15,27,Outpatient,0,0,1,20,0.74,2.1481481481481484,99.62962962962963,75,8,7,11,1,2,1,45,35,52,42,35,31,32,44,44,50,No,1.0,0.0,0.0
PRV51393,15,329,1041,Both_Service,1,0,0,264,0.25,1.6849183477425553,1084.7819404418829,73,142,187,256,11,44,18,1667,1679,1988,1758,1674,1362,1367,1736,1767,2007,Yes,2.0,1.0,3.0
PRV51395,5,20,26,Outpatient,0,0,1,12,0.46,2.6923076923076925,575.3846153846154,71,11,9,13,2,4,1,42,39,48,41,39,31,31,46,46,47,No,0.0,0.0,0.0
PRV51396,26,43,68,Both_Service,1,0,0,48,0.71,1.4264705882352942,371.6764705882353,73,15,28,30,2,6,5,117,120,129,119,107,84,82,112,118,128,No,3.0,0.0,0.0
PRV51398,15,59,124,Both_Service,1,0,0,76,0.61,1.5403225806451613,335.14516129032256,75,18,41,39,5,6,9,198,195,230,215,201,148,158,200,207,235,No,1.0,0.0,1.0
PRV51399,57,199,298,Both_Service,1,0,0,176,0.59,2.6241610738255035,3839.6711409395975,72,89,110,154,16,23,6,467,460,543,500,453,360,357,481,482,559,Yes,0.0,0.0,3.0
PRV51401,34,42,64,Both_Service,1,0,0,44,0.69,3.03125,2449.34375,70,25,17,34,2,4,2,100,90,117,105,99,72,75,102,102,120,Yes,3.0,1.0,0.0
PRV51403,39,101,173,Both_Service,1,0,0,118,0.68,2.040462427745665,2457.2947976878613,75,46,55,81,5,10,5,287,266,320,284,266,224,208,280,268,338,No,4.0,0.0,0.0
PRV51404,37,59,85,Both_Service,1,0,0,52,0.61,1.7647058823529411,467.6235294117647,73,16,43,45,6,6,2,136,136,159,149,137,111,110,145,140,166,No,2.0,0.0,0.0
PRV51406,19,29,44,Both_Service,1,0,0,30,0.68,3.340909090909091,3475.2272727272725,72,11,18,21,3,4,1,64,63,81,70,64,55,50,73,73,84,No,2.0,0.0,0.0
PRV51410,8,186,724,Outpatient,0,0,1,196,0.27,1.4806629834254144,291.76795580110496,75,83,103,142,12,19,13,1190,1100,1308,1202,1131,940,844,1190,1198,1324,Yes,1.0,1.0,1.0
PRV51415,33,50,73,Both_Service,1,0,0,44,0.6,2.7534246575342465,1142.6301369863013,71,23,27,37,4,4,5,113,112,135,130,124,91,85,119,113,138,No,4.0,0.0,0.0
PRV51416,1,79,112,Outpatient,0,0,1,62,0.55,2.8125,330.625,72,43,36,60,2,13,4,176,175,217,195,177,144,142,191,192,210,No,0.0,0.0,0.0
PRV51418,39,61,88,Both_Service,1,0,0,54,0.61,3.5681818181818183,3399.8863636363635,71,26,35,49,4,7,1,132,136,162,138,135,110,111,140,147,162,No,3.0,0.0,0.0
PRV51419,40,64,90,Both_Service,1,0,0,50,0.56,1.6777777777777778,438.1777777777778,75,34,30,53,3,5,3,149,144,156,145,142,113,112,154,144,174,No,2.0,0.0,0.0
PRV51421,40,135,193,Both_Service,1,0,0,108,0.56,4.813471502590674,6999.865284974093,73,56,79,99,10,18,8,290,291,361,318,292,235,226,323,317,363,Yes,3.0,1.0,1.0
PRV51422,15,25,41,Both_Service,1,0,0,32,0.78,5.536585365853658,2008.4878048780488,75,9,16,18,1,4,2,61,62,77,63,56,48,44,66,69,75,No,3.0,0.0,0.0
PRV51424,34,82,135,Both_Service,1,0,0,98,0.73,1.3037037037037038,383.3777777777778,73,35,47,67,5,7,3,208,221,252,227,209,180,163,230,216,256,No,5.0,0.0,0.0
PRV51425,14,33,47,Both_Service,1,0,0,28,0.6,1.5319148936170213,1031.0212765957447,73,14,19,22,2,5,4,69,72,90,81,70,55,64,68,79,82,No,2.0,0.0,0.0
PRV51426,30,91,237,Both_Service,1,0,0,62,0.26,1.2025316455696202,725.2573839662447,72,45,46,65,8,12,6,355,368,425,411,380,292,290,372,413,450,Yes,4.0,1.0,0.0
PRV51427,25,56,88,Both_Service,1,0,0,60,0.68,1.9659090909090908,1007.1363636363636,72,21,35,44,6,4,2,144,139,166,150,135,112,106,150,147,172,No,4.0,0.0,0.0
PRV51428,44,66,104,Both_Service,1,0,0,76,0.73,1.4807692307692308,811.0384615384615,75,29,37,46,5,11,4,166,156,193,160,161,141,123,182,174,200,No,0.0,0.0,1.0
PRV51429,9,10,14,Outpatient,0,0,1,8,0.57,0.0,123.57142857142857,66,6,4,7,1,1,1,24,26,25,28,25,22,18,22,22,28,No,2.0,0.0,0.0
PRV51430,35,101,162,Both_Service,1,0,0,100,0.62,1.617283950617284,2374.604938271605,75,42,59,78,8,6,9,259,265,308,270,267,201,208,262,271,308,No,0.0,0.0,0.0
PRV51433,5,862,1949,Outpatient,0,0,1,680,0.35,1.6228835300153925,288.5223191380195,73,368,494,623,55,115,69,3136,3007,3634,3297,3008,2461,2386,3253,3293,3676,Yes,0.0,0.0,5.0
PRV51434,50,97,150,Both_Service,1,0,0,96,0.64,1.82,2621.48,73,40,57,75,7,11,4,230,222,277,256,234,191,186,256,257,284,Yes,2.0,1.0,2.0
PRV51436,80,116,184,Both_Service,1,0,0,128,0.7,2.010869565217391,1606.9239130434783,75,57,59,87,9,13,7,292,284,340,312,266,222,217,300,313,348,No,3.0,0.0,1.0
PRV51439,25,41,57,Outpatient,0,0,1,30,0.53,0.3333333333333333,368.7719298245614,75,22,19,33,1,5,2,101,94,108,99,83,70,72,86,96,109,No,3.0,0.0,0.0
PRV51440,26,71,112,Both_Service,1,0,0,82,0.73,2.7767857142857144,1617.25,77,26,45,62,5,3,1,175,185,210,193,184,148,142,173,190,210,No,3.0,0.0,1.0
PRV51441,24,79,122,Outpatient,0,0,1,74,0.61,2.19672131147541,340.24590163934425,74,33,46,57,8,9,5,201,201,227,213,197,170,154,201,203,230,No,2.0,0.0,0.0
PRV51443,27,72,121,Both_Service,1,0,0,96,0.79,1.6694214876033058,552.2479338842975,72,25,47,60,5,5,2,193,181,216,193,202,159,147,197,209,235,No,6.0,0.0,1.0
PRV51444,31,40,59,Both_Service,1,0,0,34,0.58,1.9152542372881356,1342.7457627118645,72,12,28,28,2,5,5,96,85,112,101,83,70,72,102,106,109,No,2.0,0.0,0.0
PRV51446,20,24,31,Both_Service,1,0,0,14,0.45,2.4516129032258065,3896.9032258064517,71,12,12,15,2,4,3,51,48,58,54,45,39,39,51,51,57,No,2.0,0.0,0.0
PRV51447,77,80,128,Both_Service,1,0,0,78,0.61,2.0859375,2901.859375,73,33,47,64,2,8,6,208,206,229,214,212,169,148,214,220,241,Yes,3.0,1.0,0.0
PRV51448,37,47,77,Both_Service,1,0,0,52,0.68,1.974025974025974,1966.7792207792209,73,19,28,38,2,4,3,110,112,141,123,114,95,90,129,121,141,No,4.0,0.0,0.0
PRV51449,14,17,24,Both_Service,1,0,0,14,0.58,2.75,4367.833333333333,72,10,7,14,1,1,1,36,31,42,36,36,29,30,37,39,45,No,0.0,0.0,0.0
PRV51454,19,32,50,Outpatient,0,0,1,32,0.64,3.62,356.8,77,12,20,20,2,9,1,72,85,92,81,79,64,54,85,74,95,No,2.0,0.0,0.0
PRV51455,26,34,54,Both_Service,1,0,0,40,0.74,2.2962962962962963,2886.5925925925926,72,12,22,27,3,2,2,90,91,97,95,78,71,62,89,86,101,No,2.0,0.0,0.0
PRV51456,10,124,192,Both_Service,1,0,0,114,0.59,4.666666666666667,8506.947916666666,74,55,69,91,5,21,7,280,284,333,315,282,221,223,318,323,359,No,4.0,0.0,0.0
PRV51458,32,55,76,Outpatient,0,0,1,40,0.53,0.11842105263157894,221.44736842105263,74,21,34,47,1,4,3,114,126,142,123,115,97,99,117,133,144,No,2.0,0.0,1.0
PRV51459,8,2857,11406,Outpatient,0,0,1,6340,0.56,1.4566894616868316,293.4858846221287,74,1216,1641,2136,164,388,169,18004,18171,20898,19385,17608,14536,14171,19178,19233,21624,Yes,0.0,0.0,33.0
PRV51460,65,413,663,Both_Service,1,0,0,422,0.64,1.444947209653092,756.7209653092006,73,167,246,320,27,48,18,1044,1069,1233,1122,1059,887,830,1120,1140,1282,No,2.0,0.0,2.0
PRV51462,14,29,47,Outpatient,0,0,1,34,0.72,1.2127659574468086,348.72340425531917,77,11,18,20,3,5,1,82,66,90,76,77,62,56,71,68,86,No,0.0,0.0,0.0
PRV51464,86,143,230,Outpatient,0,0,1,170,0.74,0.8391304347826087,283.4782608695652,74,72,71,108,11,18,6,383,371,423,392,374,314,292,363,397,440,No,2.0,0.0,0.0
PRV51466,46,71,118,Both_Service,1,0,0,88,0.75,3.169491525423729,735.4745762711865,76,26,45,56,5,6,4,186,180,210,199,185,137,140,198,202,211,No,2.0,0.0,1.0
PRV51467,13,25,40,Both_Service,1,0,0,30,0.75,2.4,3941.2,72,10,15,19,2,3,1,62,60,67,67,69,57,49,59,66,79,No,6.0,0.0,0.0
PRV51468,68,151,224,Both_Service,1,0,0,130,0.58,1.6383928571428572,995.6607142857143,73,75,76,112,7,18,14,351,349,421,376,358,283,268,374,353,428,No,7.0,0.0,0.0
PRV51469,21,28,40,Outpatient,0,0,1,24,0.6,1.0,346.5,75,12,16,20,3,3,2,64,57,68,63,64,47,43,66,61,75,No,1.0,0.0,0.0
PRV51470,16,27,39,Both_Service,1,0,0,24,0.62,2.230769230769231,1439.2820512820513,72,14,13,21,1,3,2,58,61,71,61,62,48,45,62,66,65,No,1.0,0.0,0.0
PRV51471,17,173,264,Both_Service,1,0,0,168,0.64,4.943181818181818,9669.234848484848,74,81,92,121,13,22,17,378,381,476,381,386,304,297,427,413,487,Yes,0.0,0.0,0.0
PRV51474,16,65,99,Both_Service,1,0,0,56,0.57,3.282828282828283,6160.565656565656,70,25,40,49,4,5,7,144,160,188,175,138,111,116,158,164,180,No,3.0,0.0,0.0
PRV51475,23,42,55,Both_Service,1,0,0,24,0.44,2.418181818181818,1816.9818181818182,72,19,23,33,5,1,3,87,90,99,92,85,68,70,98,86,104,No,2.0,0.0,0.0
PRV51478,10,16,30,Outpatient,0,0,1,26,0.87,4.5,243.33333333333334,70,10,6,10,2,3,1,45,46,57,58,46,36,35,47,48,58,No,2.0,0.0,0.0
PRV51479,64,217,351,Both_Service,1,0,0,246,0.7,2.056980056980057,626.4216524216524,73,96,121,181,12,19,5,565,547,644,590,549,463,424,590,574,668,No,6.0,0.0,0.0
PRV51480,5,759,2394,Outpatient,0,0,1,942,0.39,1.652046783625731,301.203007518797,73,317,442,559,55,91,54,3794,3714,4404,4096,3716,3074,2961,3998,4058,4576,Yes,0.0,0.0,5.0
PRV51482,60,90,129,Both_Service,1,0,0,76,0.59,1.5271317829457365,2198.232558139535,75,36,54,66,8,9,7,213,196,237,215,204,153,154,208,222,245,Yes,2.0,1.0,0.0
PRV51483,45,75,113,Both_Service,1,0,0,72,0.64,1.176991150442478,815.8230088495575,74,25,50,57,3,10,5,169,163,216,180,175,138,137,179,186,216,No,4.0,0.0,2.0
PRV51484,29,75,135,Both_Service,1,0,0,98,0.73,0.725925925925926,238.26666666666668,73,32,43,55,7,6,7,211,199,256,215,216,151,154,210,223,251,No,7.0,0.0,1.0
PRV51486,16,132,242,Outpatient,0,0,1,56,0.23,0.9173553719008265,277.02479338842977,75,60,72,109,6,11,6,401,396,457,411,392,325,316,391,416,472,No,4.0,0.0,1.0
PRV51488,119,260,405,Both_Service,1,0,0,266,0.66,1.8148148148148149,399.2641975308642,74,111,149,192,22,30,16,629,628,732,683,638,516,490,677,692,761,No,2.0,0.0,0.0
PRV51490,10,56,86,Both_Service,1,0,0,44,0.51,3.627906976744186,7265.767441860465,72,23,33,39,4,8,5,121,128,156,131,116,100,98,146,136,159,Yes,1.0,1.0,1.0
PRV51491,39,63,110,Both_Service,1,0,0,78,0.71,2.418181818181818,1113.2545454545455,73,27,36,54,2,3,4,187,169,209,180,162,138,140,177,182,207,No,4.0,0.0,0.0
PRV51492,47,80,121,Both_Service,1,0,0,80,0.66,2.0082644628099175,2001.9338842975208,74,29,51,56,6,16,2,182,189,225,207,179,151,146,196,196,230,No,2.0,0.0,1.0
PRV51494,25,37,61,Outpatient,0,0,1,46,0.75,1.6721311475409837,456.55737704918033,73,19,18,27,3,4,3,102,98,111,112,98,80,79,100,98,113,No,2.0,0.0,0.0
PRV51495,32,127,190,Both_Service,1,0,0,98,0.52,4.626315789473685,6115.336842105263,74,59,68,103,8,6,10,294,299,344,299,291,245,228,309,318,343,Yes,1.0,1.0,0.0
PRV51496,5,105,202,Outpatient,0,0,1,158,0.78,0.9801980198019802,243.46534653465346,71,53,52,85,3,8,9,315,317,363,344,290,243,256,332,337,369,No,0.0,0.0,0.0
PRV51499,6,341,698,Both_Service,1,0,0,448,0.64,1.491404011461318,311.56733524355303,74,147,194,245,19,44,33,1134,1094,1286,1195,1078,921,885,1177,1185,1326,No,0.0,0.0,2.0
PRV51501,12,217,330,Both_Service,1,0,0,194,0.59,5.557575757575758,9777.648484848485,75,85,132,157,15,31,14,498,482,587,508,487,380,375,545,532,608,Yes,0.0,0.0,1.0
