Provider,NetworkDegree,isFraudConnected,NoPhysicianCount
PRV57251,1.0,0.0,0.0
PRV55752,5.0,0.0,0.0
PRV55673,6.0,1.0,0.0
PRV51119,1.0,1.0,0.0
PRV51064,7.0,1.0,0.0
PRV57717,2.0,0.0,1.0
PRV56766,2.0,0.0,2.0
PRV52127,3.0,0.0,0.0
PRV52077,4.0,1.0,2.0
PRV54943,3.0,0.0,1.0
PRV55034,1.0,1.0,1.0
PRV53510,1.0,0.0,0.0
PRV53424,3.0,0.0,0.0
PRV57124,2.0,0.0,1.0
PRV57101,7.0,0.0,0.0
PRV57310,6.0,1.0,0.0
PRV57344,3.0,1.0,2.0
PRV52466,1.0,0.0,0.0
PRV52044,2.0,0.0,1.0
PRV52161,4.0,0.0,0.0
PRV51448,4.0,0.0,0.0
PRV51612,1.0,0.0,0.0
PRV53710,4.0,0.0,2.0
PRV53705,2.0,0.0,0.0
PRV53706,7.0,1.0,1.0
PRV53697,2.0,0.0,0.0
PRV55289,2.0,0.0,0.0
PRV55331,2.0,0.0,0.0
PRV51408,3.0,0.0,1.0
PRV52813,1.0,0.0,0.0
PRV52621,2.0,0.0,0.0
PRV52136,6.0,0.0,0.0
PRV52085,6.0,0.0,2.0
PRV56487,1.0,0.0,0.0
PRV52876,3.0,0.0,0.0
PRV52045,7.0,1.0,0.0
PRV57555,1.0,0.0,0.0
PRV53379,1.0,1.0,0.0
PRV53256,6.0,0.0,1.0
PRV52165,8.0,1.0,0.0
PRV52131,3.0,0.0,1.0
PRV55205,7.0,0.0,1.0
PRV55231,2.0,0.0,0.0
PRV52361,2.0,0.0,1.0
PRV52307,5.0,1.0,0.0
PRV57409,6.0,1.0,0.0
PRV57437,2.0,0.0,0.0
PRV55507,3.0,0.0,0.0
PRV55573,2.0,0.0,0.0
PRV55146,1.0,0.0,0.0
PRV54963,3.0,0.0,1.0
PRV56015,8.0,0.0,0.0
PRV56123,1.0,0.0,0.0
PRV57408,3.0,0.0,0.0
PRV57425,6.0,1.0,1.0
PRV54564,11.0,0.0,0.0
PRV54560,4.0,1.0,0.0
PRV54577,6.0,0.0,0.0
PRV52881,3.0,0.0,0.0
PRV52851,4.0,0.0,0.0
PRV54949,7.0,0.0,0.0
PRV55027,3.0,1.0,1.0
PRV51708,2.0,0.0,0.0
PRV51627,2.0,0.0,0.0
PRV51813,1.0,0.0,0.0
PRV51377,3.0,0.0,0.0
PRV55359,1.0,0.0,0.0
PRV51441,2.0,0.0,0.0
PRV51533,3.0,0.0,0.0
PRV54244,4.0,0.0,0.0
PRV54230,8.0,1.0,0.0
PRV55834,2.0,0.0,0.0
PRV55821,2.0,1.0,1.0
PRV53570,4.0,0.0,0.0
PRV53540,4.0,0.0,0.0
PRV53394,4.0,0.0,5.0
PRV52063,5.0,0.0,1.0
PRV52124,3.0,1.0,1.0
PRV52142,2.0,0.0,0.0
PRV51406,2.0,0.0,0.0
PRV56442,5.0,1.0,7.0
PRV56407,6.0,0.0,0.0
PRV55230,18.0,1.0,0.0
PRV55292,1.0,0.0,0.0
PRV52017,6.0,0.0,0.0
PRV52166,6.0,0.0,1.0
PRV55191,3.0,0.0,1.0
PRV51957,5.0,0.0,0.0
PRV53716,2.0,0.0,1.0
PRV52002,7.0,1.0,0.0
PRV54941,1.0,0.0,1.0
PRV54936,2.0,1.0,0.0
PRV54337,7.0,0.0,1.0
PRV54382,8.0,1.0,2.0
PRV56587,11.0,1.0,1.0
PRV56904,1.0,0.0,0.0
PRV52584,2.0,0.0,1.0
PRV52801,1.0,0.0,0.0
PRV54391,7.0,1.0,1.0
PRV54461,1.0,0.0,0.0
PRV54149,2.0,1.0,0.0
PRV54103,1.0,1.0,1.0
PRV51600,1.0,0.0,0.0
PRV51482,2.0,1.0,0.0
PRV55689,5.0,1.0,1.0
PRV51285,2.0,0.0,0.0
PRV51249,4.0,1.0,0.0
PRV52740,1.0,0.0,0.0
PRV57435,1.0,0.0,0.0
PRV53266,5.0,1.0,1.0
PRV52728,1.0,0.0,0.0
PRV52708,3.0,0.0,0.0
PRV55232,7.0,0.0,0.0
PRV55210,3.0,0.0,0.0
PRV54561,6.0,0.0,2.0
PRV54604,5.0,0.0,0.0
PRV54579,3.0,0.0,0.0
PRV57501,7.0,0.0,1.0
PRV53577,4.0,0.0,0.0
PRV51598,10.0,0.0,3.0
PRV51442,1.0,0.0,0.0
PRV52064,5.0,1.0,10.0
PRV52156,4.0,0.0,1.0
PRV52029,3.0,0.0,0.0
PRV51638,1.0,0.0,0.0
PRV57583,1.0,0.0,0.0
PRV57600,5.0,0.0,0.0
PRV53220,1.0,0.0,0.0
PRV53225,1.0,0.0,0.0
PRV55837,1.0,0.0,0.0
PRV55835,1.0,1.0,0.0
PRV54514,10.0,1.0,2.0
PRV54520,3.0,0.0,1.0
PRV55416,3.0,0.0,0.0
PRV55390,3.0,0.0,0.0
PRV51121,1.0,0.0,0.0
PRV51059,5.0,1.0,0.0
PRV56222,1.0,0.0,0.0
PRV56264,1.0,0.0,0.0
PRV57594,2.0,0.0,0.0
PRV57525,1.0,1.0,0.0
PRV55385,1.0,0.0,0.0
PRV55195,4.0,1.0,0.0
PRV51549,3.0,0.0,0.0
PRV52384,1.0,0.0,0.0
PRV52308,9.0,1.0,0.0
PRV51089,8.0,0.0,1.0
PRV51082,4.0,0.0,0.0
PRV57217,3.0,0.0,0.0
PRV57177,5.0,1.0,3.0
PRV54640,2.0,0.0,1.0
PRV51148,7.0,1.0,1.0
PRV55192,13.0,0.0,1.0
PRV55237,6.0,0.0,0.0
PRV56615,5.0,0.0,1.0
PRV54081,1.0,0.0,0.0
PRV54098,1.0,1.0,1.0
PRV54743,2.0,1.0,1.0
PRV54725,1.0,0.0,2.0
PRV57321,3.0,0.0,0.0
PRV57309,2.0,0.0,0.0
PRV57326,1.0,0.0,0.0
PRV57547,5.0,1.0,2.0
PRV51258,1.0,0.0,0.0
PRV54565,14.0,0.0,0.0
PRV54580,7.0,0.0,0.0
PRV55543,2.0,0.0,0.0
PRV55509,4.0,1.0,0.0
PRV55453,3.0,1.0,0.0
PRV52294,1.0,0.0,0.0
PRV56350,10.0,1.0,1.0
PRV56361,4.0,1.0,0.0
PRV55229,10.0,0.0,1.0
PRV55215,16.0,1.0,5.0
PRV56717,1.0,0.0,0.0
PRV51427,4.0,0.0,0.0
PRV51422,3.0,0.0,0.0
PRV51486,4.0,0.0,1.0
PRV56555,1.0,0.0,1.0
PRV56590,3.0,0.0,1.0
PRV56031,1.0,0.0,0.0
PRV55913,1.0,1.0,3.0
PRV57336,6.0,0.0,1.0
PRV54062,4.0,0.0,0.0
PRV51259,1.0,0.0,0.0
PRV51325,1.0,0.0,0.0
PRV53432,2.0,0.0,0.0
PRV53461,1.0,1.0,1.0
PRV52445,1.0,1.0,0.0
PRV55023,3.0,0.0,0.0
PRV54992,8.0,0.0,0.0
PRV56713,4.0,0.0,0.0
PRV56846,2.0,0.0,0.0
PRV56508,2.0,0.0,1.0
PRV53251,3.0,0.0,0.0
PRV51467,6.0,0.0,0.0
PRV51525,3.0,0.0,0.0
PRV51396,3.0,0.0,0.0
PRV54662,4.0,0.0,0.0
PRV54651,3.0,1.0,0.0
PRV56268,5.0,1.0,5.0
PRV55951,1.0,1.0,2.0
PRV52049,2.0,0.0,1.0
PRV56220,2.0,0.0,0.0
PRV56271,4.0,0.0,0.0
PRV56711,4.0,1.0,0.0
PRV55006,2.0,0.0,0.0
PRV54959,3.0,0.0,0.0
PRV54258,5.0,1.0,0.0
PRV56970,3.0,0.0,0.0
PRV55943,2.0,0.0,5.0
PRV55934,3.0,1.0,1.0
PRV52359,5.0,0.0,0.0
PRV52395,4.0,0.0,1.0
PRV55921,2.0,0.0,0.0
PRV55903,2.0,0.0,0.0
PRV54558,3.0,0.0,0.0
PRV53198,2.0,0.0,0.0
PRV53391,2.0,0.0,0.0
PRV53417,2.0,1.0,1.0
PRV56452,1.0,0.0,1.0
PRV55433,1.0,1.0,0.0
PRV55607,1.0,0.0,0.0
PRV52195,2.0,1.0,0.0
PRV52181,4.0,1.0,0.0
PRV56473,2.0,0.0,0.0
PRV56438,2.0,1.0,0.0
PRV52922,2.0,0.0,0.0
PRV52833,4.0,0.0,0.0
PRV53910,2.0,0.0,0.0
PRV54001,1.0,0.0,0.0
PRV51978,1.0,0.0,0.0
PRV51938,2.0,0.0,0.0
PRV52273,1.0,0.0,0.0
PRV57158,2.0,1.0,1.0
PRV57152,6.0,0.0,3.0
PRV52362,3.0,0.0,0.0
PRV52315,5.0,0.0,0.0
PRV52343,2.0,1.0,0.0
PRV51004,3.0,0.0,0.0
PRV52059,3.0,1.0,3.0
PRV51857,1.0,1.0,0.0
PRV51917,1.0,0.0,0.0
PRV55957,7.0,1.0,0.0
PRV55920,12.0,0.0,0.0
PRV55663,2.0,0.0,0.0
PRV55492,2.0,1.0,0.0
PRV55382,1.0,0.0,0.0
PRV51578,5.0,1.0,3.0
PRV51479,6.0,0.0,0.0
PRV54559,10.0,0.0,1.0
PRV53551,2.0,0.0,1.0
PRV53440,5.0,0.0,0.0
PRV53399,6.0,1.0,0.0
PRV52398,4.0,0.0,0.0
PRV52302,5.0,0.0,0.0
PRV56243,10.0,0.0,1.0
PRV57129,3.0,0.0,0.0
PRV56217,1.0,0.0,0.0
PRV56329,1.0,0.0,0.0
PRV57347,4.0,0.0,0.0
PRV54668,6.0,0.0,2.0
PRV53371,1.0,0.0,0.0
PRV53308,2.0,0.0,0.0
PRV53535,1.0,0.0,0.0
PRV53405,9.0,0.0,1.0
PRV57651,1.0,0.0,0.0
PRV51546,4.0,0.0,0.0
PRV55816,1.0,0.0,0.0
PRV54402,1.0,0.0,0.0
PRV54261,2.0,0.0,0.0
PRV54215,1.0,0.0,0.0
PRV52898,3.0,0.0,0.0
PRV52832,5.0,0.0,0.0
PRV55986,9.0,0.0,0.0
PRV51017,6.0,0.0,2.0
PRV56367,2.0,0.0,0.0
PRV56376,2.0,0.0,0.0
PRV52393,1.0,0.0,2.0
PRV52389,6.0,0.0,0.0
PRV55801,3.0,0.0,0.0
PRV55709,5.0,0.0,0.0
PRV55804,3.0,0.0,0.0
PRV55803,3.0,0.0,0.0
PRV57456,1.0,0.0,0.0
PRV54086,2.0,0.0,0.0
PRV54084,4.0,0.0,0.0
PRV57491,10.0,0.0,0.0
PRV57492,3.0,0.0,0.0
PRV54529,2.0,0.0,0.0
PRV54505,4.0,1.0,0.0
PRV57404,6.0,0.0,0.0
PRV54649,6.0,1.0,0.0
PRV51151,6.0,0.0,0.0
PRV51160,2.0,0.0,1.0
PRV57108,3.0,0.0,0.0
PRV56354,2.0,0.0,0.0
PRV52971,1.0,0.0,0.0
PRV56990,4.0,0.0,0.0
PRV57738,4.0,0.0,0.0
PRV57739,4.0,0.0,0.0
PRV57013,4.0,0.0,0.0
PRV56563,6.0,0.0,0.0
PRV52746,1.0,0.0,0.0
PRV52627,1.0,0.0,1.0
PRV55811,1.0,0.0,0.0
PRV53215,2.0,0.0,0.0
PRV53104,7.0,0.0,0.0
PRV56585,3.0,0.0,0.0
PRV56916,1.0,0.0,0.0
PRV52154,4.0,0.0,1.0
PRV55714,1.0,0.0,0.0
PRV51876,5.0,1.0,0.0
PRV51873,4.0,1.0,0.0
PRV54629,5.0,0.0,0.0
PRV52896,3.0,0.0,1.0
PRV55240,9.0,0.0,1.0
PRV55208,1.0,0.0,0.0
PRV52169,7.0,0.0,0.0
PRV52149,6.0,0.0,0.0
PRV56732,3.0,1.0,0.0
PRV54379,3.0,0.0,0.0
PRV56823,1.0,0.0,0.0
PRV56774,1.0,0.0,0.0
PRV51357,3.0,1.0,0.0
PRV51770,1.0,0.0,0.0
PRV52562,4.0,0.0,0.0
PRV52570,2.0,0.0,0.0
PRV55900,1.0,0.0,0.0
PRV55944,3.0,0.0,0.0
PRV52845,3.0,0.0,0.0
PRV52848,4.0,0.0,0.0
PRV52991,5.0,0.0,0.0
PRV57558,4.0,0.0,0.0
PRV57593,6.0,0.0,0.0
PRV52084,4.0,0.0,0.0
PRV54808,1.0,1.0,0.0
PRV54757,6.0,0.0,0.0
PRV52377,1.0,0.0,0.0
PRV52401,2.0,0.0,0.0
PRV57489,1.0,0.0,0.0
PRV57432,2.0,0.0,0.0
PRV54566,4.0,1.0,0.0
PRV55206,4.0,0.0,0.0
PRV51863,3.0,0.0,0.0
PRV51838,1.0,0.0,3.0
PRV56918,1.0,1.0,0.0
PRV56752,2.0,0.0,0.0
PRV53620,5.0,0.0,1.0
PRV55000,5.0,0.0,1.0
PRV54901,2.0,0.0,0.0
PRV53204,1.0,0.0,0.0
PRV57510,6.0,0.0,0.0
PRV57507,2.0,0.0,0.0
PRV54842,2.0,0.0,0.0
PRV52346,3.0,0.0,0.0
PRV56755,4.0,0.0,0.0
PRV54085,5.0,0.0,0.0
PRV54141,3.0,0.0,0.0
PRV57173,6.0,1.0,4.0
PRV53781,5.0,1.0,0.0
PRV53442,7.0,0.0,0.0
PRV56355,4.0,0.0,0.0
PRV56370,4.0,0.0,0.0
PRV54213,4.0,0.0,0.0
PRV54885,5.0,0.0,2.0
PRV54932,2.0,0.0,0.0
PRV53127,3.0,0.0,0.0
PRV52282,1.0,0.0,0.0
PRV51340,5.0,0.0,0.0
PRV51828,1.0,0.0,0.0
PRV55710,4.0,0.0,0.0
PRV55775,2.0,0.0,0.0
PRV56507,2.0,0.0,0.0
PRV56470,6.0,0.0,0.0
PRV53121,7.0,1.0,1.0
PRV53141,6.0,0.0,1.0
PRV54344,4.0,0.0,0.0
PRV53609,3.0,0.0,1.0
PRV54691,4.0,0.0,0.0
PRV55246,6.0,0.0,1.0
PRV54297,1.0,1.0,0.0
PRV53776,3.0,1.0,1.0
PRV52606,3.0,0.0,0.0
PRV52653,1.0,0.0,0.0
PRV53262,4.0,0.0,0.0
PRV56603,1.0,0.0,0.0
PRV56906,2.0,0.0,0.0
PRV54259,5.0,0.0,0.0
PRV54278,1.0,0.0,0.0
PRV52304,2.0,0.0,1.0
PRV52460,1.0,0.0,0.0
PRV55798,3.0,0.0,0.0
PRV55797,3.0,0.0,0.0
PRV55795,7.0,0.0,0.0
PRV57098,1.0,0.0,0.0
PRV57021,1.0,1.0,1.0
PRV53932,6.0,0.0,2.0
PRV53921,9.0,0.0,4.0
PRV56729,6.0,0.0,0.0
PRV56912,1.0,0.0,0.0
PRV54569,5.0,0.0,0.0
PRV54603,6.0,0.0,0.0
PRV53416,6.0,0.0,1.0
PRV53489,3.0,0.0,0.0
PRV53007,2.0,1.0,0.0
PRV53066,1.0,0.0,0.0
PRV52578,1.0,1.0,0.0
PRV52641,1.0,0.0,0.0
PRV51629,1.0,0.0,0.0
PRV51596,5.0,0.0,1.0
PRV51401,3.0,1.0,0.0
PRV53202,2.0,0.0,0.0
PRV51301,3.0,0.0,1.0
PRV51242,2.0,1.0,0.0
PRV53530,1.0,0.0,0.0
PRV55691,5.0,0.0,0.0
PRV55739,3.0,0.0,0.0
PRV53917,8.0,0.0,1.0
PRV54038,1.0,0.0,0.0
PRV52790,1.0,0.0,0.0
PRV52691,3.0,0.0,0.0
PRV52094,2.0,0.0,0.0
PRV52157,3.0,0.0,1.0
PRV56219,1.0,0.0,0.0
PRV52418,1.0,0.0,0.0
PRV55955,2.0,0.0,0.0
PRV55912,3.0,1.0,1.0
PRV55906,1.0,0.0,0.0
PRV54303,1.0,0.0,0.0
PRV54657,3.0,0.0,0.0
PRV54658,7.0,0.0,1.0
PRV52174,1.0,0.0,0.0
PRV52030,3.0,1.0,4.0
PRV56352,3.0,0.0,0.0
PRV56349,3.0,0.0,0.0
PRV54574,5.0,0.0,0.0
PRV56518,2.0,0.0,0.0
PRV56515,2.0,0.0,0.0
PRV56428,4.0,1.0,1.0
PRV51455,2.0,0.0,0.0
PRV51014,3.0,0.0,1.0
PRV52373,1.0,0.0,0.0
PRV52556,4.0,0.0,0.0
PRV52846,4.0,1.0,0.0
PRV55664,1.0,0.0,0.0
PRV55537,3.0,0.0,0.0
PRV51555,1.0,0.0,0.0
PRV51632,1.0,0.0,0.0
PRV54831,2.0,0.0,0.0
PRV54846,2.0,0.0,0.0
PRV52646,2.0,0.0,0.0
PRV52710,2.0,0.0,0.0
PRV54245,2.0,0.0,0.0
PRV54208,4.0,0.0,0.0
PRV55828,1.0,0.0,0.0
PRV55850,1.0,0.0,0.0
PRV51954,5.0,0.0,1.0
PRV54536,1.0,0.0,0.0
PRV54507,2.0,0.0,0.0
PRV54075,1.0,1.0,4.0
PRV54074,3.0,1.0,0.0
PRV53511,1.0,0.0,0.0
PRV53448,3.0,0.0,0.0
PRV55482,1.0,1.0,0.0
PRV55513,2.0,0.0,0.0
PRV51391,3.0,0.0,0.0
PRV51389,2.0,0.0,0.0
PRV57427,3.0,0.0,0.0
PRV57424,5.0,0.0,0.0
PRV57441,3.0,0.0,0.0
PRV56453,7.0,0.0,0.0
PRV53667,1.0,0.0,0.0
PRV53618,7.0,0.0,1.0
PRV52408,2.0,0.0,0.0
PRV56710,3.0,0.0,0.0
PRV56667,3.0,0.0,1.0
PRV53161,2.0,0.0,0.0
PRV53189,7.0,0.0,0.0
PRV53295,9.0,1.0,1.0
PRV53349,3.0,0.0,2.0
PRV53247,7.0,0.0,0.0
PRV51424,5.0,0.0,0.0
PRV51337,2.0,1.0,1.0
PRV54882,8.0,1.0,0.0
PRV57551,3.0,0.0,1.0
PRV51617,1.0,0.0,0.0
PRV51635,5.0,0.0,0.0
PRV54340,2.0,0.0,0.0
PRV54380,3.0,0.0,0.0
PRV53144,6.0,0.0,0.0
PRV54403,2.0,0.0,0.0
PRV56224,2.0,0.0,0.0
PRV56297,2.0,0.0,0.0
PRV56322,3.0,0.0,0.0
PRV56540,1.0,0.0,0.0
PRV56543,1.0,0.0,0.0
PRV55846,3.0,0.0,1.0
PRV55872,2.0,0.0,0.0
PRV57211,4.0,0.0,0.0
PRV52079,2.0,0.0,0.0
PRV51619,2.0,0.0,0.0
PRV53052,2.0,0.0,1.0
PRV52986,2.0,0.0,0.0
PRV51556,3.0,0.0,0.0
PRV56746,3.0,0.0,0.0
PRV55697,2.0,0.0,0.0
PRV52901,1.0,0.0,1.0
PRV52890,4.0,0.0,0.0
PRV52109,5.0,0.0,1.0
PRV55796,3.0,0.0,0.0
PRV52076,7.0,0.0,1.0
PRV53109,2.0,0.0,0.0
PRV53192,1.0,0.0,1.0
PRV52058,8.0,0.0,1.0
PRV52151,7.0,1.0,0.0
PRV55498,2.0,0.0,0.0
PRV55547,3.0,0.0,1.0
PRV54411,4.0,0.0,0.0
PRV54415,2.0,0.0,0.0
PRV54426,6.0,0.0,0.0
PRV55031,1.0,0.0,1.0
PRV55160,1.0,0.0,0.0
PRV57614,1.0,0.0,0.0
PRV55562,2.0,0.0,0.0
PRV56461,9.0,0.0,1.0
PRV52285,1.0,0.0,0.0
PRV57316,4.0,0.0,0.0
PRV56997,1.0,0.0,0.0
PRV56917,2.0,0.0,0.0
PRV56778,4.0,0.0,0.0
PRV56726,3.0,0.0,0.0
PRV53032,1.0,0.0,0.0
PRV52998,4.0,0.0,0.0
PRV53113,4.0,0.0,0.0
PRV53119,2.0,1.0,0.0
PRV57252,1.0,0.0,0.0
PRV51515,4.0,0.0,0.0
PRV51824,2.0,0.0,0.0
PRV53601,1.0,0.0,0.0
PRV53604,1.0,0.0,0.0
PRV54220,4.0,0.0,0.0
PRV54267,1.0,0.0,0.0
PRV55914,3.0,1.0,0.0
PRV55942,1.0,0.0,0.0
PRV56236,3.0,0.0,0.0
PRV56338,1.0,0.0,0.0
PRV56740,4.0,0.0,0.0
PRV55247,3.0,0.0,1.0
PRV55226,3.0,0.0,0.0
PRV54672,2.0,0.0,0.0
PRV56456,3.0,0.0,0.0
PRV54429,6.0,0.0,0.0
