Provider,Phys_Count,Patient_Count,Norm_Patient_Count,Claim_Count,Norm_Claim_Count,Service_Type,Both_Service,Inpatient,Outpatient,Inpatient_Count,Outpatient_Count,Norm_Inpatient_Count,Norm_Outpatient_Count,DuplicateClaims,Duplicate_Claims_Percent,AvgClaimDuration,Avg_Cost,Avg_Age,Gender1,Gender2,Race1,Race2,Race3,Race5,ChronicCond_Alzheimer_1,ChronicCond_Alzheimer_2,ChronicCond_KidneyDisease_1,ChronicCond_KidneyDisease_2,ChronicCond_Cancer_1,ChronicCond_Cancer_2,ChronicCond_ObstrPulmonary_1,ChronicCond_ObstrPulmonary_2,ChronicCond_Depression_1,ChronicCond_Depression_2,ChronicCond_Diabetes_1,ChronicCond_Diabetes_2,ChronicCond_IschemicHeart_1,ChronicCond_IschemicHeart_2,ChronicCond_Osteoporasis_1,ChronicCond_Osteoporasis_2,ChronicCond_rheumatoidarthritis_1,ChronicCond_rheumatoidarthritis_2,ChronicCond_stroke_1,ChronicCond_stroke_2,PotentialFraud,NetworkDegree,isFraudConnected,NoPhysicianCount,FraudNeighbor_Count
PRV51015,3,7,2.33,8,2.67,Outpatient,0,0,1,0.0,8.0,0.0,1.0,0.0,0.0,0.375,87.5,71,0.0,7.0,5.0,2.0,0.0,0.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,6.0,1.0,7.0,0.0,6.0,1.0,3.0,4.0,2.0,5.0,1.0,6.0,No,0.0,0.0,0.0,0.0
PRV51016,3,6,2.0,6,2.0,Outpatient,0,0,1,0.0,6.0,0.0,1.0,0.0,0.0,0.3333333333333333,28.333333333333332,70,3.0,3.0,5.0,1.0,0.0,0.0,2.0,4.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,5.0,1.0,5.0,1.0,2.0,4.0,3.0,3.0,1.0,5.0,No,0.0,0.0,0.0,0.0
PRV51017,113,420,3.72,515,4.56,Outpatient,0,0,1,0.0,515.0,0.0,1.0,0.0,0.0,1.3572815533980582,279.1650485436893,72,183.0,237.0,336.0,82.0,1.0,1.0,163.0,257.0,168.0,252.0,47.0,373.0,129.0,291.0,165.0,255.0,278.0,142.0,308.0,112.0,141.0,279.0,106.0,314.0,41.0,379.0,No,6.0,1.0,2.0,3.0
PRV51021,69,208,3.01,257,3.72,Both_Service,1,0,0,29.0,228.0,0.11,0.89,2.0,0.01,2.0,1479.852140077821,73,94.0,114.0,161.0,47.0,0.0,0.0,74.0,134.0,90.0,118.0,41.0,167.0,72.0,136.0,93.0,115.0,155.0,53.0,151.0,57.0,55.0,153.0,64.0,144.0,20.0,188.0,Yes,2.0,0.0,1.0,0.0
PRV51023,14,35,2.5,36,2.57,Both_Service,1,0,0,9.0,27.0,0.25,0.75,0.0,0.0,3.6666666666666665,2062.0555555555557,72,14.0,21.0,24.0,11.0,0.0,0.0,16.0,19.0,16.0,19.0,5.0,30.0,10.0,25.0,15.0,20.0,21.0,14.0,29.0,6.0,9.0,26.0,8.0,27.0,5.0,30.0,No,1.0,0.0,0.0,0.0
PRV51024,13,38,2.92,39,3.0,Both_Service,1,0,0,9.0,30.0,0.23,0.77,0.0,0.0,1.641025641025641,1891.076923076923,67,17.0,21.0,32.0,6.0,0.0,0.0,14.0,24.0,23.0,15.0,5.0,33.0,13.0,25.0,16.0,22.0,29.0,9.0,29.0,9.0,11.0,27.0,14.0,24.0,6.0,32.0,No,7.0,1.0,0.0,2.0
PRV51025,35,76,2.17,87,2.49,Both_Service,1,0,0,13.0,74.0,0.15,0.85,0.0,0.0,2.1724137931034484,1524.528735632184,73,36.0,40.0,58.0,18.0,0.0,0.0,24.0,52.0,35.0,41.0,10.0,66.0,23.0,53.0,36.0,40.0,53.0,23.0,54.0,22.0,27.0,49.0,21.0,55.0,6.0,70.0,No,6.0,1.0,1.0,1.0
PRV51026,29,56,1.93,76,2.62,Outpatient,0,0,1,0.0,76.0,0.0,1.0,0.0,0.0,1.0921052631578947,265.5263157894737,69,26.0,30.0,45.0,11.0,0.0,0.0,24.0,32.0,22.0,34.0,9.0,47.0,12.0,44.0,26.0,30.0,40.0,16.0,35.0,21.0,14.0,42.0,15.0,41.0,5.0,51.0,No,2.0,0.0,0.0,0.0
PRV51027,10,44,4.4,53,5.3,Outpatient,0,0,1,0.0,53.0,0.0,1.0,0.0,0.0,2.1320754716981134,563.0188679245283,71,21.0,23.0,31.0,12.0,1.0,0.0,19.0,25.0,21.0,23.0,6.0,38.0,14.0,30.0,22.0,22.0,33.0,11.0,36.0,8.0,9.0,35.0,10.0,34.0,6.0,38.0,No,2.0,0.0,0.0,0.0
PRV51029,38,79,2.08,93,2.45,Outpatient,0,0,1,0.0,93.0,0.0,1.0,0.0,0.0,0.6989247311827957,331.39784946236557,70,34.0,45.0,61.0,18.0,0.0,0.0,27.0,52.0,25.0,54.0,8.0,71.0,22.0,57.0,24.0,55.0,51.0,28.0,56.0,23.0,16.0,63.0,23.0,56.0,9.0,70.0,No,1.0,0.0,0.0,0.0
PRV51030,46,145,3.15,171,3.72,Both_Service,1,0,0,82.0,89.0,0.48,0.52,0.0,0.0,3.198830409356725,4833.380116959064,71,60.0,85.0,121.0,24.0,0.0,0.0,61.0,84.0,67.0,78.0,27.0,118.0,53.0,92.0,58.0,87.0,105.0,40.0,116.0,29.0,39.0,106.0,50.0,95.0,13.0,132.0,No,7.0,0.0,0.0,0.0
PRV51031,60,157,2.62,185,3.08,Both_Service,1,0,0,28.0,157.0,0.15,0.85,0.0,0.0,2.0,2107.9135135135134,72,62.0,95.0,127.0,28.0,2.0,0.0,74.0,83.0,73.0,84.0,19.0,138.0,58.0,99.0,70.0,87.0,107.0,50.0,126.0,31.0,67.0,90.0,45.0,112.0,13.0,144.0,No,3.0,1.0,0.0,1.0
PRV51032,10,21,2.1,23,2.3,Outpatient,0,0,1,0.0,23.0,0.0,1.0,0.0,0.0,0.9130434782608695,237.82608695652175,70,8.0,13.0,20.0,1.0,0.0,0.0,8.0,13.0,9.0,12.0,5.0,16.0,8.0,13.0,10.0,11.0,15.0,6.0,16.0,5.0,4.0,17.0,5.0,16.0,3.0,18.0,No,2.0,0.0,0.0,0.0
PRV51035,18,25,1.39,30,1.67,Both_Service,1,0,0,1.0,29.0,0.03,0.97,0.0,0.0,2.2666666666666666,1132.9333333333334,74,9.0,16.0,19.0,6.0,0.0,0.0,7.0,18.0,14.0,11.0,3.0,22.0,8.0,17.0,14.0,11.0,18.0,7.0,19.0,6.0,8.0,17.0,6.0,19.0,5.0,20.0,No,2.0,1.0,0.0,1.0
PRV51036,5,131,26.2,278,55.6,Outpatient,0,0,1,0.0,278.0,0.0,1.0,0.0,0.0,1.0503597122302157,274.42446043165467,71,57.0,74.0,106.0,25.0,0.0,0.0,40.0,91.0,50.0,81.0,17.0,114.0,34.0,97.0,48.0,83.0,83.0,48.0,89.0,42.0,42.0,89.0,27.0,104.0,10.0,121.0,No,1.0,0.0,0.0,0.0
PRV51037,3,206,68.67,454,151.33,Both_Service,1,0,0,23.0,431.0,0.05,0.95,0.0,0.0,1.5330396475770924,810.0308370044053,71,93.0,113.0,170.0,36.0,0.0,0.0,73.0,133.0,82.0,124.0,27.0,179.0,53.0,153.0,78.0,128.0,128.0,78.0,151.0,55.0,69.0,137.0,60.0,146.0,18.0,188.0,Yes,0.0,0.0,3.0,0.0
PRV51038,44,107,2.43,141,3.2,Both_Service,1,0,0,30.0,111.0,0.21,0.79,0.0,0.0,1.7801418439716312,2104.127659574468,71,40.0,67.0,82.0,25.0,0.0,0.0,51.0,56.0,47.0,60.0,18.0,89.0,31.0,76.0,44.0,63.0,79.0,28.0,81.0,26.0,36.0,71.0,37.0,70.0,12.0,95.0,No,3.0,1.0,0.0,1.0
PRV51040,15,69,4.6,86,5.73,Both_Service,1,0,0,9.0,77.0,0.1,0.9,0.0,0.0,1.6627906976744187,968.0697674418604,71,33.0,36.0,54.0,14.0,0.0,1.0,26.0,43.0,24.0,45.0,6.0,63.0,18.0,51.0,31.0,38.0,48.0,21.0,52.0,17.0,15.0,54.0,16.0,53.0,7.0,62.0,No,5.0,0.0,2.0,0.0
PRV51041,9,31,3.44,34,3.78,Outpatient,0,0,1,0.0,34.0,0.0,1.0,0.0,0.0,2.3529411764705883,225.88235294117646,69,14.0,17.0,23.0,8.0,0.0,0.0,16.0,15.0,7.0,24.0,7.0,24.0,8.0,23.0,13.0,18.0,20.0,11.0,22.0,9.0,7.0,24.0,8.0,23.0,2.0,29.0,No,1.0,0.0,0.0,0.0
PRV51042,52,128,2.46,142,2.73,Outpatient,0,0,1,0.0,142.0,0.0,1.0,0.0,0.0,1.232394366197183,340.5633802816901,73,59.0,69.0,121.0,6.0,0.0,1.0,44.0,84.0,49.0,79.0,18.0,110.0,34.0,94.0,51.0,77.0,77.0,51.0,95.0,33.0,30.0,98.0,33.0,95.0,11.0,117.0,No,2.0,0.0,0.0,0.0
PRV51043,6,20,3.33,23,3.83,Outpatient,0,0,1,0.0,23.0,0.0,1.0,0.0,0.0,0.0,194.7826086956522,72,9.0,11.0,16.0,4.0,0.0,0.0,7.0,13.0,7.0,13.0,3.0,17.0,7.0,13.0,7.0,13.0,16.0,4.0,14.0,6.0,9.0,11.0,5.0,15.0,0.0,20.0,No,1.0,0.0,0.0,0.0
PRV51044,1,39,39.0,59,59.0,Outpatient,0,0,1,0.0,59.0,0.0,1.0,0.0,0.0,2.152542372881356,363.728813559322,69,20.0,19.0,33.0,5.0,1.0,0.0,13.0,26.0,17.0,22.0,4.0,35.0,11.0,28.0,12.0,27.0,23.0,16.0,31.0,8.0,14.0,25.0,15.0,24.0,3.0,36.0,No,0.0,0.0,0.0,0.0
PRV51045,16,29,1.81,31,1.94,Outpatient,0,0,1,0.0,31.0,0.0,1.0,0.0,0.0,2.2580645161290325,271.93548387096774,71,11.0,18.0,26.0,3.0,0.0,0.0,14.0,15.0,13.0,16.0,3.0,26.0,13.0,16.0,11.0,18.0,21.0,8.0,21.0,8.0,6.0,23.0,5.0,24.0,2.0,27.0,No,1.0,0.0,0.0,0.0
PRV51046,6,26,4.33,38,6.33,Both_Service,1,0,0,8.0,30.0,0.21,0.79,0.0,0.0,1.631578947368421,3105.6315789473683,71,9.0,17.0,20.0,6.0,0.0,0.0,9.0,17.0,9.0,17.0,7.0,19.0,8.0,18.0,12.0,14.0,21.0,5.0,23.0,3.0,7.0,19.0,9.0,17.0,3.0,23.0,No,1.0,0.0,0.0,0.0
PRV51047,10,11,1.1,11,1.1,Outpatient,0,0,1,0.0,11.0,0.0,1.0,0.0,0.0,3.090909090909091,230.0,70,6.0,5.0,10.0,1.0,0.0,0.0,3.0,8.0,4.0,7.0,0.0,11.0,4.0,7.0,4.0,7.0,7.0,4.0,7.0,4.0,3.0,8.0,4.0,7.0,1.0,10.0,No,1.0,0.0,0.0,0.0
PRV51048,15,33,2.2,38,2.53,Both_Service,1,0,0,4.0,34.0,0.11,0.89,0.0,0.0,0.6052631578947368,843.4736842105264,71,13.0,20.0,26.0,7.0,0.0,0.0,19.0,14.0,13.0,20.0,4.0,29.0,12.0,21.0,16.0,17.0,28.0,5.0,27.0,6.0,7.0,26.0,15.0,18.0,1.0,32.0,No,3.0,0.0,0.0,0.0
PRV51049,35,65,1.86,71,2.03,Outpatient,0,0,1,0.0,71.0,0.0,1.0,0.0,0.0,1.7887323943661972,308.59154929577466,70,29.0,36.0,51.0,14.0,0.0,0.0,28.0,37.0,24.0,41.0,10.0,55.0,28.0,37.0,28.0,37.0,43.0,22.0,39.0,26.0,21.0,44.0,20.0,45.0,7.0,58.0,No,3.0,0.0,0.0,0.0
PRV51052,17,37,2.18,46,2.71,Both_Service,1,0,0,2.0,44.0,0.04,0.96,0.0,0.0,2.282608695652174,720.5652173913044,70,17.0,20.0,30.0,7.0,0.0,0.0,11.0,26.0,15.0,22.0,4.0,33.0,11.0,26.0,15.0,22.0,22.0,15.0,26.0,11.0,11.0,26.0,10.0,27.0,5.0,32.0,Yes,2.0,1.0,0.0,1.0
PRV51053,1,1,1.0,1,1.0,Inpatient,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,9068.0,68,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,No,0.0,0.0,0.0,0.0
PRV51054,3,40,13.33,57,19.0,Outpatient,0,0,1,0.0,57.0,0.0,1.0,0.0,0.0,2.3508771929824563,267.89473684210526,70,16.0,24.0,28.0,12.0,0.0,0.0,13.0,27.0,18.0,22.0,2.0,38.0,13.0,27.0,19.0,21.0,21.0,19.0,23.0,17.0,5.0,35.0,6.0,34.0,3.0,37.0,No,0.0,0.0,0.0,0.0
PRV51055,6,22,3.67,22,3.67,Both_Service,1,0,0,2.0,20.0,0.09,0.91,0.0,0.0,0.5909090909090909,1083.909090909091,68,10.0,12.0,16.0,6.0,0.0,0.0,10.0,12.0,8.0,14.0,4.0,18.0,8.0,14.0,13.0,9.0,11.0,11.0,17.0,5.0,7.0,15.0,7.0,15.0,3.0,19.0,No,1.0,0.0,0.0,0.0
PRV51056,5,21,4.2,22,4.4,Both_Service,1,0,0,2.0,20.0,0.09,0.91,0.0,0.0,0.7272727272727273,765.7272727272727,76,9.0,12.0,16.0,5.0,0.0,0.0,9.0,12.0,15.0,6.0,4.0,17.0,6.0,15.0,11.0,10.0,19.0,2.0,17.0,4.0,11.0,10.0,6.0,15.0,4.0,17.0,No,2.0,0.0,0.0,0.0
PRV51057,1,4,4.0,5,5.0,Outpatient,0,0,1,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1366.0,78,2.0,2.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,3.0,1.0,3.0,0.0,4.0,1.0,3.0,4.0,0.0,0.0,4.0,1.0,3.0,0.0,4.0,No,0.0,0.0,0.0,0.0
PRV51058,31,75,2.42,83,2.68,Both_Service,1,0,0,5.0,78.0,0.06,0.94,0.0,0.0,1.3012048192771084,1356.2650602409637,73,35.0,40.0,63.0,12.0,0.0,0.0,29.0,46.0,30.0,45.0,9.0,66.0,22.0,53.0,35.0,40.0,54.0,21.0,59.0,16.0,26.0,49.0,24.0,51.0,8.0,67.0,No,2.0,0.0,0.0,0.0
PRV51059,30,82,2.73,96,3.2,Both_Service,1,0,0,25.0,71.0,0.26,0.74,0.0,0.0,2.4791666666666665,4666.666666666667,73,24.0,58.0,66.0,16.0,0.0,0.0,26.0,56.0,31.0,51.0,9.0,73.0,21.0,61.0,32.0,50.0,51.0,31.0,55.0,27.0,24.0,58.0,23.0,59.0,7.0,75.0,Yes,5.0,1.0,0.0,1.0
PRV51060,28,42,1.5,42,1.5,Both_Service,1,0,0,5.0,37.0,0.12,0.88,0.0,0.0,2.3095238095238093,1167.857142857143,71,22.0,20.0,33.0,9.0,0.0,0.0,16.0,26.0,19.0,23.0,6.0,36.0,16.0,26.0,20.0,22.0,33.0,9.0,30.0,12.0,8.0,34.0,13.0,29.0,4.0,38.0,No,2.0,1.0,1.0,1.0
PRV51061,6,67,11.17,145,24.17,Both_Service,1,0,0,1.0,144.0,0.01,0.99,0.0,0.0,2.393103448275862,388.0551724137931,74,24.0,43.0,50.0,16.0,1.0,0.0,20.0,47.0,28.0,39.0,8.0,59.0,18.0,49.0,26.0,41.0,47.0,20.0,47.0,20.0,19.0,48.0,20.0,47.0,7.0,60.0,No,2.0,1.0,1.0,1.0
PRV51062,6,166,27.67,397,66.17,Both_Service,1,0,0,3.0,394.0,0.01,0.99,0.0,0.0,1.5969773299748111,396.2821158690176,71,65.0,101.0,124.0,42.0,0.0,0.0,56.0,110.0,66.0,100.0,24.0,142.0,38.0,128.0,60.0,106.0,115.0,51.0,111.0,55.0,54.0,112.0,35.0,131.0,14.0,152.0,No,0.0,0.0,0.0,0.0
PRV51063,3,115,38.33,149,49.67,Outpatient,0,0,1,0.0,149.0,0.0,1.0,0.0,0.0,1.610738255033557,344.09395973154363,69,49.0,66.0,83.0,31.0,1.0,0.0,48.0,67.0,48.0,67.0,18.0,97.0,32.0,83.0,49.0,66.0,79.0,36.0,88.0,27.0,29.0,86.0,35.0,80.0,11.0,104.0,No,0.0,0.0,0.0,0.0
PRV51064,111,227,2.05,303,2.73,Both_Service,1,0,0,36.0,267.0,0.12,0.88,0.0,0.0,1.9504950495049505,1317.7161716171618,72,102.0,125.0,181.0,45.0,0.0,1.0,81.0,146.0,97.0,130.0,26.0,201.0,77.0,150.0,102.0,125.0,162.0,65.0,178.0,49.0,73.0,154.0,66.0,161.0,28.0,199.0,Yes,7.0,1.0,0.0,2.0
PRV51065,9,26,2.89,28,3.11,Both_Service,1,0,0,10.0,18.0,0.36,0.64,0.0,0.0,2.9285714285714284,3081.8571428571427,75,11.0,15.0,20.0,6.0,0.0,0.0,11.0,15.0,9.0,17.0,1.0,25.0,9.0,17.0,15.0,11.0,19.0,7.0,21.0,5.0,6.0,20.0,5.0,21.0,6.0,20.0,No,4.0,1.0,0.0,1.0
PRV51066,7,21,3.0,24,3.43,Both_Service,1,0,0,2.0,22.0,0.08,0.92,0.0,0.0,1.0833333333333333,1126.0833333333333,68,7.0,14.0,17.0,4.0,0.0,0.0,10.0,11.0,6.0,15.0,2.0,19.0,5.0,16.0,5.0,16.0,11.0,10.0,15.0,6.0,6.0,15.0,6.0,15.0,2.0,19.0,No,1.0,0.0,0.0,0.0
PRV51067,21,49,2.33,58,2.76,Both_Service,1,0,0,12.0,46.0,0.21,0.79,0.0,0.0,2.310344827586207,5993.379310344828,67,15.0,34.0,37.0,12.0,0.0,0.0,13.0,36.0,21.0,28.0,8.0,41.0,11.0,38.0,26.0,23.0,32.0,17.0,35.0,14.0,16.0,33.0,13.0,36.0,2.0,47.0,Yes,5.0,1.0,0.0,1.0
PRV51068,79,214,2.71,261,3.3,Both_Service,1,0,0,9.0,252.0,0.03,0.97,0.0,0.0,1.3754789272030652,583.3103448275862,69,87.0,127.0,165.0,49.0,0.0,0.0,78.0,136.0,81.0,133.0,31.0,183.0,57.0,157.0,85.0,129.0,148.0,66.0,148.0,66.0,61.0,153.0,59.0,155.0,23.0,191.0,No,1.0,0.0,0.0,0.0
PRV51070,46,69,1.5,99,2.15,Both_Service,1,0,0,10.0,89.0,0.1,0.9,0.0,0.0,1.9090909090909092,1377.6767676767677,70,33.0,36.0,52.0,15.0,0.0,2.0,26.0,43.0,26.0,43.0,8.0,61.0,18.0,51.0,26.0,43.0,50.0,19.0,49.0,20.0,19.0,50.0,15.0,54.0,9.0,60.0,No,1.0,0.0,0.0,0.0
PRV51071,11,24,2.18,24,2.18,Outpatient,0,0,1,0.0,24.0,0.0,1.0,0.0,0.0,2.0833333333333335,358.3333333333333,68,7.0,17.0,19.0,5.0,0.0,0.0,12.0,12.0,8.0,16.0,2.0,22.0,9.0,15.0,14.0,10.0,18.0,6.0,21.0,3.0,10.0,14.0,5.0,19.0,4.0,20.0,No,2.0,0.0,0.0,0.0
PRV51072,47,160,3.4,212,4.51,Both_Service,1,0,0,12.0,200.0,0.06,0.94,0.0,0.0,1.5377358490566038,619.566037735849,70,67.0,93.0,136.0,22.0,2.0,0.0,57.0,103.0,70.0,90.0,17.0,143.0,52.0,108.0,57.0,103.0,119.0,41.0,124.0,36.0,59.0,101.0,50.0,110.0,12.0,148.0,No,3.0,1.0,1.0,1.0
PRV51074,14,39,2.79,39,2.79,Both_Service,1,0,0,5.0,34.0,0.13,0.87,0.0,0.0,1.8974358974358974,1194.6153846153845,73,15.0,24.0,33.0,6.0,0.0,0.0,15.0,24.0,18.0,21.0,6.0,33.0,13.0,26.0,18.0,21.0,28.0,11.0,34.0,5.0,14.0,25.0,10.0,29.0,1.0,38.0,No,1.0,0.0,0.0,0.0
PRV51075,4,13,3.25,17,4.25,Outpatient,0,0,1,0.0,17.0,0.0,1.0,0.0,0.0,1.1764705882352942,507.05882352941177,75,4.0,9.0,9.0,4.0,0.0,0.0,3.0,10.0,4.0,9.0,3.0,10.0,4.0,9.0,6.0,7.0,10.0,3.0,12.0,1.0,3.0,10.0,8.0,5.0,1.0,12.0,No,0.0,0.0,0.0,0.0
PRV51076,8,27,3.38,29,3.62,Outpatient,0,0,1,0.0,29.0,0.0,1.0,0.0,0.0,1.1724137931034482,354.48275862068965,75,13.0,14.0,22.0,3.0,2.0,0.0,13.0,14.0,11.0,16.0,7.0,20.0,5.0,22.0,11.0,16.0,21.0,6.0,24.0,3.0,9.0,18.0,11.0,16.0,4.0,23.0,No,2.0,0.0,0.0,0.0
PRV51077,11,30,2.73,33,3.0,Both_Service,1,0,0,16.0,17.0,0.48,0.52,0.0,0.0,4.181818181818182,6683.939393939394,71,12.0,18.0,22.0,8.0,0.0,0.0,13.0,17.0,17.0,13.0,5.0,25.0,9.0,21.0,18.0,12.0,25.0,5.0,26.0,4.0,15.0,15.0,11.0,19.0,4.0,26.0,Yes,4.0,0.0,0.0,0.0
PRV51078,13,23,1.77,23,1.77,Both_Service,1,0,0,9.0,14.0,0.39,0.61,0.0,0.0,2.652173913043478,3778.8695652173915,70,6.0,17.0,19.0,4.0,0.0,0.0,7.0,16.0,7.0,16.0,3.0,20.0,8.0,15.0,10.0,13.0,16.0,7.0,16.0,7.0,7.0,16.0,5.0,18.0,4.0,19.0,No,3.0,0.0,0.0,0.0
PRV51081,3,131,43.67,200,66.67,Both_Service,1,0,0,6.0,194.0,0.03,0.97,0.0,0.0,1.62,656.24,70,62.0,69.0,105.0,23.0,1.0,2.0,64.0,67.0,58.0,73.0,12.0,119.0,39.0,92.0,56.0,75.0,86.0,45.0,102.0,29.0,37.0,94.0,38.0,93.0,16.0,115.0,No,0.0,0.0,2.0,0.0
PRV51082,9,31,3.44,34,3.78,Outpatient,0,0,1,0.0,34.0,0.0,1.0,0.0,0.0,1.1764705882352942,162.94117647058823,72,9.0,22.0,25.0,6.0,0.0,0.0,12.0,19.0,12.0,19.0,2.0,29.0,6.0,25.0,10.0,21.0,26.0,5.0,21.0,10.0,8.0,23.0,7.0,24.0,3.0,28.0,No,4.0,0.0,0.0,0.0
PRV51083,18,81,4.5,90,5.0,Outpatient,0,0,1,0.0,90.0,0.0,1.0,0.0,0.0,1.3777777777777778,202.66666666666666,74,30.0,51.0,67.0,13.0,0.0,1.0,32.0,49.0,38.0,43.0,12.0,69.0,25.0,56.0,40.0,41.0,57.0,24.0,65.0,16.0,25.0,56.0,23.0,58.0,8.0,73.0,No,2.0,1.0,0.0,1.0
